smiles,template,compound_set,hit1,hit2,hit3,reactant_step1,reactant2_step1,reaction_name_step1,short_hits
CC(=O)Nc1c(F)cncc1CCS(N)(=O)=O,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(F)cncc1C(C)CS(N)(=O)=O,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(CCS(=O)(=O)Cc2ccccc2)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(CCS(=O)(=O)Cc2ccccc2)cnnc1C,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(C(C)CS(=O)(=O)Cc2ccccc2)cnnc1C,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(CCS(=O)(=O)CC2CCCC2)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(CCS(=O)(=O)CNC2CCCC2)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(C)cncc1CCS(=O)(=O)CNC1CCCC1,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(C(C)CS(=O)(=O)CNC2CCCC2)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
N#CCC(=O)Nc1c(F)cncc1CCS(N)(=O)=O,A0487a,x0487 P2 extension,A0487a,A0719a,A0310a,,,,Ax0487a Ax0719a Ax0310a
N#CCC(=O)Nc1c(CCS(N)(=O)=O)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,A0310a,,,,Ax0487a Ax0719a Ax0310a
CC(CS(N)(=O)=O)c1cncc(F)c1NC(=O)CC#N,A0487a,x0487 P2 extension,A0487a,A0719a,A0310a,,,,Ax0487a Ax0719a Ax0310a
Cc1cncc(C(C)CS(N)(=O)=O)c1NC(=O)CC#N,A0487a,x0487 P2 extension,A0487a,A0719a,A0310a,,,,Ax0487a Ax0719a Ax0310a
CC(=O)Nc1c(CCS(=O)(=O)NCC2CCCC2)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(C)cncc1CCS(=O)(=O)NCC1CCCC1,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CC(=O)Nc1c(C(C)CS(=O)(=O)NCC2CCCC2)cnnc1F,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
CCOc1ccc(C(=O)CC)cc1,A1775a,covalent_analogues_aug_2024,A1775a,,,,,,
CCC(=O)c1ccc(NC(C)=O)cc1,A1776a,covalent_analogues_aug_2024,A1776a,,,,,,
CCOc1ccc(C(=O)CCl)cc1,A1775a,covalent_analogues_aug_2024,A1775a,,,,,,
CC(=O)Nc1ccc(C(=O)CCl)cc1,A1776a,covalent_analogues_aug_2024,A1776a,,,,,,
CC(=O)N1CCc2cc(C(=O)CCl)ccc21,A1778a,covalent_analogues_aug_2024,A1778a,,,,,,
CCC(=O)c1ccc2c(c1)CCN2C(C)=O,A1778a,covalent_analogues_aug_2024,A1778a,,,,,,
CCC(=O)c1ccc2c(c1)NC(=O)CO2,A1779a,covalent_analogues_aug_2024,A1779a,,,,,,
O=C1COc2ccc(C(=O)CCl)cc2N1,A1779a,covalent_analogues_aug_2024,A1779a,,,,,,
CCOc1ccc(C(C)=O)cc1,A1775a,covalent_analogues_aug_2024,A1775a,,,,,,
CCOc1ccc(C=O)cc1,A1775a,covalent_analogues_aug_2024,A1775a,,,,,,
CC(=O)Nc1ccc(C(C)=O)cc1,A1776a,covalent_analogues_aug_2024,A1776a,,,,,,
CC(=O)Nc1ccc(C=O)cc1,A1776a,covalent_analogues_aug_2024,A1776a,,,,,,
CC(=O)c1ccc2c(c1)CCN2C(C)=O,A1778a,covalent_analogues_aug_2024,A1778a,,,,,,
CC(=O)N1CCc2cc(C=O)ccc21,A1778a,covalent_analogues_aug_2024,A1778a,,,,,,
CC(=O)c1ccc2c(c1)NC(=O)CO2,A1779a,covalent_analogues_aug_2024,A1779a,,,,,,
O=Cc1ccc2c(c1)NC(=O)CO2,A1779a,covalent_analogues_aug_2024,A1779a,,,,,,
