ID_amine,ROMol_amine,ID_carboxyl,ROMol_carboxyl,product,amine,carboxyl
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-43832,<rdkit.Chem.rdchem.Mol object at 0x16a2457e0>,Cc1cc(CNC(=O)c2ccc3c(c2)=NC(=S)N=3)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)c1ccc2c(c1)=NC(=S)N=2
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-10898,<rdkit.Chem.rdchem.Mol object at 0x16a245850>,Cc1cc(CNC(=O)CCn2ccc3ccccc32)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCn1ccc2ccccc21
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-905232,<rdkit.Chem.rdchem.Mol object at 0x16a2458c0>,Cc1cc(CNC(=O)CNC(=O)c2cc(C)nn2C)n(C)n1,Cc1cc(CN)n(C)n1,Cc1cc(C(=O)NCC(=O)O)n(C)n1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-12098,<rdkit.Chem.rdchem.Mol object at 0x16a245930>,Cc1cc(CNC(=O)CCc2nc3ccccc3o2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCc1nc2ccccc2o1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-14584,<rdkit.Chem.rdchem.Mol object at 0x16a2459a0>,Cc1cc(CNC(=O)CCn2cnc3ccccc32)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCn1cnc2ccccc21
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-238209,<rdkit.Chem.rdchem.Mol object at 0x16a245a10>,Cc1cc(CNC(=O)CCn2ncc3c2CCCC3)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCn1ncc2c1CCCC2
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-3043749,<rdkit.Chem.rdchem.Mol object at 0x16a245a80>,Cc1cc(CNC(=O)c2cc3cc(O)ccc3o2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)c1cc2cc(O)ccc2o1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-16833,<rdkit.Chem.rdchem.Mol object at 0x16a245af0>,Cc1cc(CNC(=O)/C=C/c2ccc3c(c2)OCO3)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C/c1ccc2c(c1)OCO2
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-2681462,<rdkit.Chem.rdchem.Mol object at 0x16a245bd0>,Cc1cc(CNC(=O)CCn2ncc3ccccc32)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCn1ncc2ccccc21
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-155755,<rdkit.Chem.rdchem.Mol object at 0x16a245b60>,Cc1ccc2c(c1)cc(C(=O)NCc1cc(C)nn1C)n2C,Cc1cc(CN)n(C)n1,Cc1ccc2c(c1)cc(C(=O)O)n2C
